feedback_id,visit_date,store_code,customer_name,customer_email,user_category,product_looking_for,reason_for_non_purchase,ground_truth_topic
27,2026-04-25,X6,Vikram Khan,vikram.khan85@outlook.com,Office-going Women,Bangles,The bangles I liked was way over my budget. I was hoping for something under 10k. Specifically for teen-age girls use.,Price Too High
28,2026-03-17,X5,Liam Khan,liam.khan90@hotmail.com,Everyday Wear,Ear Rings,The polish/finishing on the ear rings looked uneven to me. It was for everyday wear.,Quality Concerns
29,2026-04-13,X1,Ava Mehta,ava.mehta4@yahoo.com,Office-going Women,Finger Rings,My daughter needed adjustable finger rings; could not find the right size. Specifically for babies use.,Size Unavailable
30,2026-04-26,X3,Chloe Khan,chloe.khan89@outlook.com,Office-going Women,Ear Rings,Wanted a slight design change on the ear rings; staff said customization is not possible right now.,Customization Not Offered
31,2026-02-19,X6,Aditi Nair,aditi.nair80@hotmail.com,Babies,Necklace,I wasn't fully convinced about the finish quality on the necklace I tried.,Quality Concerns
32,2026-05-05,X3,Aarav Davis,aarav.davis15@hotmail.com,Birthday,Necklace,Saw a temple design design online and wanted the same in necklace here. Not available.,Design Unavailable
33,2026-05-08,X6,Aditi Patel,aditi.patel84@hotmail.com,Teen-age Girls,Bangles,"Prices on bangles were higher than I expected, I had a budget of under 10k. The piece was meant for everyday wear.",Price Too High
34,2026-03-01,X4,Ishita Reddy,ishita.reddy6@icloud.com,Babies,Finger Rings,The finger rings I liked was way over my budget. I was hoping for something under 10k.,Price Too High
35,2026-05-06,X2,Emma Nair,emma.nair8@hotmail.com,Babies,Ear Rings,"My family wanted a floral design in ear rings, but the available designs were very limited.",Design Unavailable
36,2026-05-07,X3,Meera Sharma,meera.sharma85@outlook.com,Teen-age Girls,Anklets,The anklets I liked wasn't available in 10 inch.,Size Unavailable
37,2026-05-06,X5,Chloe Reddy,chloe.reddy3@icloud.com,Teen-age Girls,Finger Rings,The polish/finishing on the finger rings looked uneven to me.,Quality Concerns
38,2026-05-01,X5,Lily Reddy,lily.reddy24@gmail.com,Birthday,Finger Rings,Saw the exact finger rings I wanted in the catalogue but it's not in the store currently.,Stock Unavailable
39,2026-04-27,X3,Meera Smith,meera.smith2@icloud.com,Teen-age Girls,Necklace,I wanted something under 15g for daily wear but the necklace options shown were heavier. The piece was meant for office-going women.,Weight Concerns
40,2026-04-06,X5,Riya Mehta,riya.mehta2@gmail.com,Office-going Women,Ear Rings,Wanted the ear rings in antique finish but only yellow gold was available. It was for babies.,Color/Finish Mismatch
41,2026-03-08,X4,Zoe Clark,zoe.clark34@icloud.com,Office-going Women,Bangles,Wanted a slight design change on the bangles; staff said customization is not possible right now.,Customization Not Offered
42,2026-05-11,X1,Liam Clark,liam.clark46@outlook.com,Wedding,Ear Rings,The hallmark and purity details on the ear rings were not clearly communicated.,Quality Concerns
43,2026-03-19,X4,Mia Nair,mia.nair52@outlook.com,Everyday Wear,Necklace,Was told the necklace model is sold out and would take 3-4 weeks to restock.,Stock Unavailable
44,2026-04-11,X5,Kavya Iyer,kavya.iyer12@yahoo.com,Birthday,Ear Rings,Was told the ear rings model is sold out and would take 3-4 weeks to restock. Specifically for birthday use.,Stock Unavailable
45,2026-04-03,X5,Lucas Brown,lucas.brown22@yahoo.com,Babies,Ear Rings,The ear rings I liked wasn't available in medium drops.,Size Unavailable
46,2026-03-11,X5,Charlotte Taylor,charlotte.taylor8@icloud.com,Teen-age Girls,Bangles,Saw the exact bangles I wanted in the catalogue but it's not in the store currently.,Stock Unavailable
47,2026-02-27,X3,Meera Nair,meera.nair94@outlook.com,Birthday,Necklace,"My family wanted a choker design in necklace, but the available designs were very limited.",Design Unavailable
48,2026-03-05,X2,Charlotte Reddy,charlotte.reddy6@yahoo.com,Birthday,Necklace,Found a beautiful necklace but it crossed my under 25k budget by a lot.,Price Too High
49,2026-04-19,X3,Noah Sharma,noah.sharma25@outlook.com,Office-going Women,Necklace,Saw a temple design design online and wanted the same in necklace here. Not available.,Design Unavailable
50,2026-03-13,X5,Ava Verma,ava.verma80@hotmail.com,Teen-age Girls,Ear Rings,Was looking for a rose gold finish on ear rings; could not find a matching piece. Specifically for everyday wear use.,Color/Finish Mismatch
51,2026-04-03,X5,Ishita Reddy,ishita.reddy95@outlook.com,Teen-age Girls,Bangles,The hallmark and purity details on the bangles were not clearly communicated.,Quality Concerns
52,2026-04-24,X4,Anjali Verma,anjali.verma20@outlook.com,Office-going Women,Necklace,Was looking for a silver tone finish on necklace; could not find a matching piece.,Color/Finish Mismatch
53,2026-04-19,X4,Sneha Brown,sneha.brown82@outlook.com,Birthday,Finger Rings,Was actually looking for a different category but happened to browse finger rings too. The piece was meant for babies.,Others
54,2026-03-15,X3,Neha Khan,neha.khan38@outlook.com,Teen-age Girls,Anklets,The polish/finishing on the anklets looked uneven to me. The piece was meant for babies.,Quality Concerns
55,2026-02-28,X2,Meera Mehta,meera.mehta50@icloud.com,Office-going Women,Ear Rings,Saw the exact ear rings I wanted in the catalogue but it's not in the store currently. It was for birthday.,Stock Unavailable
56,2026-03-01,X1,Ishita Davis,ishita.davis48@gmail.com,Teen-age Girls,Finger Rings,Needed size 12 for finger rings but staff said it's out of stock right now.,Size Unavailable
57,2026-03-19,X3,Lily Anderson,lily.anderson22@outlook.com,Babies,Anklets,My daughter needed 9 inch anklets; could not find the right size.,Size Unavailable
58,2026-03-17,X3,Zoe Clark,zoe.clark52@gmail.com,Birthday,Anklets,The polish/finishing on the anklets looked uneven to me. The piece was meant for everyday wear.,Quality Concerns
59,2026-05-01,X1,Sanjana Johnson,sanjana.johnson30@gmail.com,Babies,Ear Rings,The hallmark and purity details on the ear rings were not clearly communicated. Specifically for birthday use.,Quality Concerns
60,2026-03-21,X4,Sophia Taylor,sophia.taylor88@icloud.com,Babies,Anklets,"Looking for a around 12g anklets, but in-store stock was much heavier.",Weight Concerns
61,2026-04-08,X3,Kavya Reddy,kavya.reddy80@yahoo.com,Wedding,Necklace,Saw a choker design online and wanted the same in necklace here. Not available. The piece was meant for teen-age girls.,Design Unavailable
62,2026-04-19,X2,Ava Smith,ava.smith4@hotmail.com,Birthday,Ear Rings,Saw the exact ear rings I wanted in the catalogue but it's not in the store currently.,Stock Unavailable
63,2026-02-26,X6,Ava Khan,ava.khan2@outlook.com,Wedding,Bangles,Saw a kada design online and wanted the same in bangles here. Not available.,Design Unavailable
64,2026-03-06,X4,Meera Mehta,meera.mehta92@yahoo.com,Babies,Finger Rings,My daughter needed adjustable finger rings; could not find the right size.,Size Unavailable
65,2026-03-16,X4,Meera Khan,meera.khan90@hotmail.com,Birthday,Finger Rings,Wanted the finger rings in yellow gold but only yellow gold was available. It was for birthday.,Color/Finish Mismatch
66,2026-04-22,X3,Liam Brown,liam.brown39@icloud.com,Teen-age Girls,Ear Rings,The ear rings I liked was way over my budget. I was hoping for something under 10k.,Price Too High
67,2026-03-18,X2,Noah Nair,noah.nair28@hotmail.com,Wedding,Ear Rings,Saw the exact ear rings I wanted in the catalogue but it's not in the store currently. Specifically for office-going women use.,Stock Unavailable
68,2026-04-14,X1,Olivia Khan,olivia.khan98@outlook.com,Office-going Women,Finger Rings,Looking for size 6 in finger rings. The sizes available didn't fit. Specifically for office-going women use.,Size Unavailable
69,2026-02-28,X5,Pooja Brown,pooja.brown5@icloud.com,Teen-age Girls,Ear Rings,Wanted the ear rings in antique finish but only yellow gold was available.,Color/Finish Mismatch
70,2026-02-28,X3,Zoe Nair,zoe.nair24@icloud.com,Birthday,Anklets,The hallmark and purity details on the anklets were not clearly communicated. Specifically for everyday wear use.,Quality Concerns
71,2026-02-23,X6,Charlotte Khan,charlotte.khan70@gmail.com,Wedding,Ear Rings,Wanted made-to-order in ear rings; the lead time of 6-8 weeks didn't work for me. It was for everyday wear.,Customization Not Offered
72,2026-03-12,X3,Noah Davis,noah.davis86@icloud.com,Birthday,Necklace,Saw a pendant set design online and wanted the same in necklace here. Not available.,Design Unavailable
73,2026-02-19,X2,Aarav Patel,aarav.patel64@hotmail.com,Office-going Women,Anklets,The anklets I wanted to buy is completely out of stock at the moment. The piece was meant for birthday.,Stock Unavailable
74,2026-04-28,X4,Meera Iyer,meera.iyer56@gmail.com,Teen-age Girls,Bangles,I wasn't fully convinced about the finish quality on the bangles I tried.,Quality Concerns
75,2026-02-27,X4,Vikram Reddy,vikram.reddy48@yahoo.com,Office-going Women,Finger Rings,The finger rings I liked wasn't available in size 12.,Size Unavailable
76,2026-04-23,X4,Zoe Anderson,zoe.anderson77@outlook.com,Teen-age Girls,Necklace,The necklace I wanted to buy is completely out of stock at the moment.,Stock Unavailable
77,2026-03-06,X3,Lily Reddy,lily.reddy18@hotmail.com,Babies,Necklace,Was looking for a yellow gold finish on necklace; could not find a matching piece.,Color/Finish Mismatch
78,2026-04-06,X6,Priya Nair,priya.nair37@hotmail.com,Office-going Women,Bangles,"Prices on bangles were higher than I expected, I had a budget of under 50k.",Price Too High
79,2026-03-15,X2,Ethan Wilson,ethan.wilson81@hotmail.com,Office-going Women,Bangles,The hallmark and purity details on the bangles were not clearly communicated. The piece was meant for everyday wear.,Quality Concerns
80,2026-02-20,X4,Ethan Davis,ethan.davis86@yahoo.com,Birthday,Bangles,"Looking for a lightweight (under 8g) bangles, but in-store stock was much heavier.",Weight Concerns
81,2026-03-01,X4,Aditi Sharma,aditi.sharma58@outlook.com,Birthday,Anklets,Looking for 9 inch in anklets. The sizes available didn't fit. The piece was meant for teen-age girls.,Size Unavailable
82,2026-02-22,X2,Lucas Patel,lucas.patel18@yahoo.com,Birthday,Necklace,The necklace I liked was way over my budget. I was hoping for something under 25k.,Price Too High
83,2026-02-26,X1,Tara Reddy,tara.reddy95@outlook.com,Office-going Women,Bangles,I came specifically looking for a floral carving bangles but the store didn't have it. The piece was meant for office-going women.,Design Unavailable
84,2026-02-23,X5,Mia Brown,mia.brown63@yahoo.com,Babies,Ear Rings,Wanted the ear rings in antique finish but only yellow gold was available. The piece was meant for babies.,Color/Finish Mismatch
85,2026-04-19,X3,Sophia Patel,sophia.patel91@yahoo.com,Birthday,Bangles,I wanted something lightweight (under 8g) but the bangles options shown were heavier. The piece was meant for office-going women.,Weight Concerns
86,2026-03-21,X1,Sophia Mehta,sophia.mehta89@yahoo.com,Babies,Ear Rings,Found a beautiful ear rings but it crossed my under 50k budget by a lot.,Price Too High
87,2026-03-12,X6,Aarav Sharma,aarav.sharma78@hotmail.com,Office-going Women,Necklace,Saw the exact necklace I wanted in the catalogue but it's not in the store currently. The piece was meant for birthday.,Stock Unavailable
88,2026-04-24,X4,Harper Patel,harper.patel26@hotmail.com,Teen-age Girls,Bangles,Wanted the bangles in white gold but only yellow gold was available.,Color/Finish Mismatch
89,2026-02-14,X2,Neha Taylor,neha.taylor64@yahoo.com,Office-going Women,Finger Rings,Wanted the finger rings in yellow gold but only yellow gold was available. The piece was meant for teen-age girls.,Color/Finish Mismatch
90,2026-04-04,X6,Chloe Verma,chloe.verma51@gmail.com,Everyday Wear,Ear Rings,The hallmark and purity details on the ear rings were not clearly communicated. The piece was meant for wedding.,Quality Concerns
91,2026-02-21,X3,Sophia Anderson,sophia.anderson48@gmail.com,Everyday Wear,Ear Rings,"Prices on ear rings were higher than I expected, I had a budget of under 25k. It was for everyday wear.",Price Too High
92,2026-02-14,X1,Ethan Davis,ethan.davis93@yahoo.com,Babies,Finger Rings,My daughter needed adjustable finger rings; could not find the right size.,Size Unavailable
93,2026-02-12,X4,Pooja Johnson,pooja.johnson96@gmail.com,Teen-age Girls,Bangles,"Looking for a under 15g for daily wear bangles, but in-store stock was much heavier. It was for teen-age girls.",Weight Concerns
94,2026-03-02,X3,Chloe Verma,chloe.verma52@outlook.com,Babies,Necklace,Saw a choker design online and wanted the same in necklace here. Not available.,Design Unavailable
95,2026-05-08,X4,Riya Nair,riya.nair32@outlook.com,Babies,Finger Rings,The finger rings I liked wasn't available in adjustable.,Size Unavailable
96,2026-04-27,X1,Emma Patel,emma.patel85@gmail.com,Wedding,Bangles,I came specifically looking for a floral carving bangles but the store didn't have it. The piece was meant for teen-age girls.,Design Unavailable
97,2026-02-11,X4,Amelia Anderson,amelia.anderson56@gmail.com,Birthday,Anklets,"My family wanted a minimal chain anklet design in anklets, but the available designs were very limited.",Design Unavailable
98,2026-02-20,X1,Grace Brown,grace.brown41@yahoo.com,Everyday Wear,Finger Rings,Looking for adjustable in finger rings. The sizes available didn't fit.,Size Unavailable
99,2026-02-17,X1,Sanjana Iyer,sanjana.iyer6@gmail.com,Office-going Women,Bangles,Was hoping to find a floral carving style in bangles. Nothing matched what I had in mind.,Design Unavailable
100,2026-03-15,X5,Zoe Taylor,zoe.taylor55@icloud.com,Birthday,Bangles,Was told the bangles model is sold out and would take 3-4 weeks to restock. The piece was meant for office-going women.,Stock Unavailable
101,2026-04-20,X3,Rohit Smith,rohit.smith8@outlook.com,Everyday Wear,Ear Rings,Was looking for a white gold finish on ear rings; could not find a matching piece. It was for birthday.,Color/Finish Mismatch
102,2026-04-29,X1,Sanjana Verma,sanjana.verma53@outlook.com,Teen-age Girls,Anklets,The anklets I liked wasn't available in kids size. It was for teen-age girls.,Size Unavailable
103,2026-02-23,X4,Harper Reddy,harper.reddy53@gmail.com,Wedding,Bangles,"My family wanted a star design design in bangles, but the available designs were very limited.",Design Unavailable
104,2026-04-04,X3,Charlotte Verma,charlotte.verma55@outlook.com,Everyday Wear,Ear Rings,I wanted something under 15g for daily wear but the ear rings options shown were heavier.,Weight Concerns
105,2026-04-03,X5,Noah Iyer,noah.iyer92@hotmail.com,Office-going Women,Necklace,Wanted a slight design change on the necklace; staff said customization is not possible right now.,Customization Not Offered
106,2026-02-12,X6,Lucas Smith,lucas.smith24@outlook.com,Teen-age Girls,Finger Rings,The polish/finishing on the finger rings looked uneven to me.,Quality Concerns
107,2026-02-25,X6,Aarav Davis,aarav.davis16@gmail.com,Babies,Finger Rings,The polish/finishing on the finger rings looked uneven to me. The piece was meant for everyday wear.,Quality Concerns
108,2026-03-15,X5,Noah Khan,noah.khan30@hotmail.com,Teen-age Girls,Ear Rings,Wanted the ear rings in yellow gold but only yellow gold was available.,Color/Finish Mismatch
109,2026-03-08,X4,Sophia Anderson,sophia.anderson64@gmail.com,Birthday,Bangles,The sales staff was busy and I couldn't get enough help while choosing the bangles.,Sales Service
110,2026-04-28,X4,Ava Clark,ava.clark92@icloud.com,Everyday Wear,Finger Rings,My daughter needed size 8 finger rings; could not find the right size.,Size Unavailable
111,2026-04-15,X1,Ava Johnson,ava.johnson89@hotmail.com,Teen-age Girls,Necklace,Saw the exact necklace I wanted in the catalogue but it's not in the store currently.,Stock Unavailable
112,2026-03-28,X4,Ishita Taylor,ishita.taylor46@hotmail.com,Everyday Wear,Bangles,I wanted something around 12g but the bangles options shown were heavier.,Weight Concerns
113,2026-03-09,X4,Rohit Khan,rohit.khan36@outlook.com,Office-going Women,Ear Rings,My daughter needed medium drops ear rings; could not find the right size.,Size Unavailable
114,2026-03-12,X4,Liam Nair,liam.nair14@outlook.com,Babies,Bangles,"Looking for a under 15g for daily wear bangles, but in-store stock was much heavier.",Weight Concerns
115,2026-03-30,X6,Ethan Clark,ethan.clark44@gmail.com,Teen-age Girls,Bangles,"Prices on bangles were higher than I expected, I had a budget of under 25k. The piece was meant for everyday wear.",Price Too High
116,2026-03-01,X3,Noah Verma,noah.verma50@icloud.com,Teen-age Girls,Ear Rings,Wanted made-to-order in ear rings; the lead time of 6-8 weeks didn't work for me.,Customization Not Offered
117,2026-03-10,X2,Olivia Anderson,olivia.anderson30@outlook.com,Babies,Necklace,The polish/finishing on the necklace looked uneven to me.,Quality Concerns
118,2026-04-15,X4,Ava Mehta,ava.mehta72@gmail.com,Everyday Wear,Finger Rings,"My family wanted a solitaire design in finger rings, but the available designs were very limited.",Design Unavailable
119,2026-04-17,X4,Sanjana Smith,sanjana.smith87@gmail.com,Wedding,Bangles,"Looking for a under 15g for daily wear bangles, but in-store stock was much heavier.",Weight Concerns
120,2026-04-16,X4,Harper Taylor,harper.taylor64@gmail.com,Office-going Women,Anklets,Was told the anklets model is sold out and would take 3-4 weeks to restock. It was for office-going women.,Stock Unavailable
121,2026-03-03,X2,Zoe Nair,zoe.nair98@yahoo.com,Wedding,Necklace,Looking for 16 inch in necklace. The sizes available didn't fit.,Size Unavailable
122,2026-03-11,X2,Amelia Sharma,amelia.sharma14@outlook.com,Teen-age Girls,Anklets,The hallmark and purity details on the anklets were not clearly communicated.,Quality Concerns
123,2026-02-13,X5,Rohit Patel,rohit.patel65@hotmail.com,Babies,Bangles,"Looking for a under 15g for daily wear bangles, but in-store stock was much heavier. It was for birthday.",Weight Concerns
124,2026-02-13,X3,Ishita Reddy,ishita.reddy58@outlook.com,Everyday Wear,Ear Rings,Asked if the ear rings can be customized with engraving; was told no.,Customization Not Offered
125,2026-03-21,X5,Harper Johnson,harper.johnson53@icloud.com,Babies,Finger Rings,Family member wanted to be present before buying the finger rings. The piece was meant for wedding.,Others
126,2026-04-18,X3,Sneha Nair,sneha.nair49@outlook.com,Birthday,Necklace,Saw a layered chain design online and wanted the same in necklace here. Not available. The piece was meant for office-going women.,Design Unavailable
127,2026-03-19,X5,Olivia Davis,olivia.davis32@outlook.com,Office-going Women,Ear Rings,Wanted the ear rings in rose gold but only yellow gold was available. The piece was meant for babies.,Color/Finish Mismatch
128,2026-05-10,X4,Sneha Johnson,sneha.johnson64@outlook.com,Wedding,Bangles,Was hoping to find a kada style in bangles. Nothing matched what I had in mind. Specifically for birthday use.,Design Unavailable
129,2026-04-19,X2,Zoe Brown,zoe.brown91@icloud.com,Birthday,Finger Rings,Was looking for a silver tone finish on finger rings; could not find a matching piece. It was for wedding.,Color/Finish Mismatch
130,2026-03-11,X5,Sneha Wilson,sneha.wilson85@gmail.com,Office-going Women,Necklace,Wanted made-to-order in necklace; the lead time of 6-8 weeks didn't work for me. The piece was meant for office-going women.,Customization Not Offered
131,2026-03-25,X5,Lily Taylor,lily.taylor23@icloud.com,Teen-age Girls,Ear Rings,Wanted the ear rings in silver tone but only yellow gold was available.,Color/Finish Mismatch
132,2026-04-05,X1,Lucas Reddy,lucas.reddy31@outlook.com,Teen-age Girls,Bangles,I came specifically looking for a star design bangles but the store didn't have it. The piece was meant for birthday.,Design Unavailable
133,2026-02-24,X3,Arjun Clark,arjun.clark79@yahoo.com,Babies,Anklets,Needed 9 inch for anklets but staff said it's out of stock right now. The piece was meant for birthday.,Size Unavailable
134,2026-04-29,X4,Neha Mehta,neha.mehta86@yahoo.com,Birthday,Finger Rings,Looking for size 8 in finger rings. The sizes available didn't fit. Specifically for babies use.,Size Unavailable
135,2026-05-02,X5,Aarav Johnson,aarav.johnson34@outlook.com,Babies,Ear Rings,The ear rings I liked wasn't available in extra small for kids. It was for teen-age girls.,Size Unavailable
136,2026-03-23,X5,Sneha Patel,sneha.patel46@outlook.com,Office-going Women,Necklace,Wanted a slight design change on the necklace; staff said customization is not possible right now. Specifically for birthday use.,Customization Not Offered
137,2026-04-15,X6,Neha Sharma,neha.sharma74@hotmail.com,Office-going Women,Bangles,Needed size 8 for bangles but staff said it's out of stock right now.,Size Unavailable
138,2026-03-31,X4,Arjun Khan,arjun.khan86@hotmail.com,Office-going Women,Ear Rings,Saw the exact ear rings I wanted in the catalogue but it's not in the store currently.,Stock Unavailable
139,2026-04-10,X4,Lucas Iyer,lucas.iyer26@yahoo.com,Birthday,Bangles,Will buy after the upcoming festival sale; postponing the bangles purchase. The piece was meant for birthday.,Others
140,2026-03-03,X5,Charlotte Mehta,charlotte.mehta99@gmail.com,Babies,Necklace,Saw the exact necklace I wanted in the catalogue but it's not in the store currently. Specifically for office-going women use.,Stock Unavailable
141,2026-03-18,X6,Aarav Johnson,aarav.johnson34@gmail.com,Everyday Wear,Finger Rings,Need to consult my husband/parents before deciding on the finger rings.,Others
142,2026-03-31,X5,Sanjana Iyer,sanjana.iyer21@icloud.com,Babies,Necklace,"My family wanted a temple design design in necklace, but the available designs were very limited.",Design Unavailable
143,2026-04-17,X3,Priya Nair,priya.nair37@yahoo.com,Babies,Ear Rings,Found a beautiful ear rings but it crossed my under 10k budget by a lot. The piece was meant for teen-age girls.,Price Too High
144,2026-02-25,X2,Noah Iyer,noah.iyer73@gmail.com,Teen-age Girls,Anklets,The hallmark and purity details on the anklets were not clearly communicated.,Quality Concerns
145,2026-03-16,X3,Sanjana Iyer,sanjana.iyer40@outlook.com,Wedding,Finger Rings,Waited a long time to be attended for the finger rings I wanted to see. It was for office-going women.,Sales Service
146,2026-05-02,X6,Riya Brown,riya.brown24@icloud.com,Birthday,Finger Rings,Saw the exact finger rings I wanted in the catalogue but it's not in the store currently.,Stock Unavailable
147,2026-04-23,X4,Rohit Nair,rohit.nair39@yahoo.com,Teen-age Girls,Ear Rings,I wanted something lightweight (under 8g) but the ear rings options shown were heavier.,Weight Concerns
148,2026-03-15,X6,Lily Wilson,lily.wilson15@icloud.com,Office-going Women,Anklets,I wasn't fully convinced about the finish quality on the anklets I tried. It was for office-going women.,Quality Concerns
149,2026-05-01,X4,Lily Brown,lily.brown41@yahoo.com,Everyday Wear,Anklets,Found a beautiful anklets but it crossed my below 1 lakh budget by a lot. Specifically for everyday wear use.,Price Too High
150,2026-03-23,X3,Aarav Reddy,aarav.reddy7@gmail.com,Everyday Wear,Anklets,The anklets I liked wasn't available in 10 inch. The piece was meant for wedding.,Size Unavailable
151,2026-04-26,X1,Grace Clark,grace.clark4@icloud.com,Office-going Women,Bangles,Was hoping to find a floral carving style in bangles. Nothing matched what I had in mind. The piece was meant for babies.,Design Unavailable
152,2026-03-20,X4,Neha Nair,neha.nair35@outlook.com,Office-going Women,Finger Rings,Wanted made-to-order in finger rings; the lead time of 6-8 weeks didn't work for me. The piece was meant for birthday.,Customization Not Offered
153,2026-03-24,X2,Ava Khan,ava.khan97@yahoo.com,Office-going Women,Necklace,The necklace I liked was way over my budget. I was hoping for something under 25k.,Price Too High
154,2026-05-01,X2,Anjali Johnson,anjali.johnson28@hotmail.com,Birthday,Anklets,"Prices on anklets were higher than I expected, I had a budget of below 1 lakh. The piece was meant for everyday wear.",Price Too High
155,2026-02-27,X3,Lily Clark,lily.clark94@outlook.com,Everyday Wear,Ear Rings,The hallmark and purity details on the ear rings were not clearly communicated. Specifically for office-going women use.,Quality Concerns
156,2026-03-25,X6,Lily Brown,lily.brown73@hotmail.com,Teen-age Girls,Finger Rings,I wanted something under 15g for daily wear but the finger rings options shown were heavier. The piece was meant for babies.,Weight Concerns
157,2026-02-24,X3,Aditi Reddy,aditi.reddy97@yahoo.com,Birthday,Bangles,"My family wanted a thin polki design in bangles, but the available designs were very limited.",Design Unavailable
158,2026-05-10,X6,Harper Patel,harper.patel26@hotmail.com,Everyday Wear,Bangles,Waited a long time to be attended for the bangles I wanted to see.,Sales Service
159,2026-02-20,X1,Emma Khan,emma.khan13@gmail.com,Wedding,Bangles,Saw a kada design online and wanted the same in bangles here. Not available. The piece was meant for office-going women.,Design Unavailable
160,2026-04-23,X5,Riya Davis,riya.davis11@yahoo.com,Babies,Bangles,I wasn't fully convinced about the finish quality on the bangles I tried. It was for everyday wear.,Quality Concerns
